,FSA,bedrooms,post_published_date,average_price
143,M3L,1.0,2020-10-02,1390.0
144,M3M,1.0,2020-10-20,1400.0
145,M3N,2.0,2020-10-28,2300.0
146,M4A,2.0,2020-10-27,2200.0
147,M4B,2.0,2020-10-06,1500.0
148,M4C,2.0,2020-09-21,2150.0
149,M4C,2.0,2020-10-05,1950.0
150,M4C,2.0,2020-10-07,1900.0
151,M4C,1.0,2020-10-14,1750.0
152,M4C,2.0,2020-10-14,2100.0
153,M4C,2.0,2020-10-18,1695.0
154,M4C,2.0,2020-10-19,1795.0
155,M4C,2.0,2020-10-22,1795.0
156,M4C,1.0,2020-10-24,1395.0
157,M4C,2.0,2020-10-24,2000.0
158,M4C,1.0,2020-10-28,1675.0
159,M4C,2.0,2020-10-28,2250.0
160,M4E,1.0,2020-09-22,1650.0
161,M4E,1.0,2020-09-29,2495.0
162,M4E,1.0,2020-10-07,1775.0
163,M4E,2.0,2020-10-13,2995.0
164,M4E,1.0,2020-10-16,1995.0
165,M4E,2.0,2020-10-23,1995.0
166,M4E,1.0,2020-10-27,1795.0
167,M4E,2.0,2020-10-27,1200.0
168,M4E,2.0,2020-10-28,1200.0
169,M4G,1.0,2020-10-24,1725.0
170,M4G,1.0,2020-10-25,1990.0
171,M4H,1.0,2020-10-21,1.0
172,M4J,1.0,2020-10-05,1295.0
173,M4J,2.0,2020-10-13,2500.0
174,M4J,2.0,2020-10-14,1872.5
175,M4J,2.0,2020-10-19,2995.0
176,M4J,1.0,2020-10-20,1600.0
177,M4J,2.0,2020-10-20,2360.0
178,M4J,1.0,2020-10-22,1625.0
179,M4J,2.0,2020-10-26,2680.0
180,M4J,1.0,2020-10-27,1150.0
181,M4K,1.0,2020-10-09,1750.0
182,M4K,1.0,2020-10-13,1500.0
183,M4K,2.0,2020-10-13,2675.0
184,M4K,2.0,2020-10-14,2995.0
185,M4K,1.0,2020-10-15,1812.5
186,M4K,1.0,2020-10-16,1500.0
187,M4K,2.0,2020-10-16,1795.0
188,M4K,1.0,2020-10-19,966.0
189,M4K,2.0,2020-10-20,2700.0
190,M4K,1.0,2020-10-21,1357.5
191,M4K,2.0,2020-10-21,1250.0
192,M4K,1.0,2020-10-22,1695.0
193,M4K,2.0,2020-10-22,1985.0
194,M4K,1.0,2020-10-23,1750.0
195,M4K,1.0,2020-10-26,1487.5
196,M4K,1.0,2020-10-27,1225.0
197,M4L,2.0,2020-09-25,1595.0
198,M4L,1.0,2020-10-03,1695.0
199,M4L,2.0,2020-10-05,1595.0
200,M4L,1.0,2020-10-07,1673.3333333333333
201,M4L,2.0,2020-10-07,2350.0
202,M4L,1.0,2020-10-09,1400.0
203,M4L,1.0,2020-10-14,950.0
204,M4L,2.0,2020-10-14,3850.0
205,M4L,1.0,2020-10-20,1500.0
206,M4L,1.0,2020-10-21,900.0
