Column1.id,Column1.bedrooms,Column1.price
c_7175813857,1,1000
c_7184506180,1,1000
c_7186832622,1,1000
c_7195155467,1,1000
c_7195821001,1,1000
c_7197934211,2,1000
c_7198955144,3,1000
c_7199094586,1,1000
c_7199104442,1,1000
c_7199504127,1,1000
c_7200699252,1,1000
c_7201196847,1,1000
c_7201245044,2,1000
c_7201992454,2,1000
c_7202605462,1,1000
c_7202722798,1,1000
c_7202852621,1,1000
c_7203000798,1,1000
c_7203023511,1,1000
c_7203042957,1,1000
c_7204225743,1,1000
c_7204331970,1,1000
c_7204771012,1,1000
c_7205324674,1,1000
c_7205475549,2,1000
c_7205712551,1,1000
c_7205721890,1,1000
c_7205721956,1,1000
c_7205960528,1,1000
c_7205968113,1,1000
c_7206142178,1,1000
c_7206590132,1,1000
c_7206872588,1,1000
c_7207972519,1,1000
c_7208166411,1,1000
c_7208864958,1,1000
c_7208871979,2,1000
c_7209611625,1,1000
c_7209852373,1,1000
c_7210452876,4,1000
c_7210668103,1,1000
c_7211174258,1,1000
c_7211174860,1,1000
c_7211174999,1,1000
c_7211262248,1,1000
c_7212041356,1,1000
c_7214288926,1,1000
c_7215310381,1,1000
c_7215312407,1,1000
c_7215316767,1,1000
c_7216064536,1,1000
c_7216065738,1,1000
c_7216066923,1,1000
c_7216741707,1,1000
c_7216961874,1,1000
c_7217116923,1,1000
c_7217124616,1,1000
c_7217581830,1,1000
c_7217583244,1,1000
c_7217699569,1,1000
c_7218277920,1,1000
c_7218740395,1,1000
c_7218742116,1,1000
c_7218742980,1,1000
c_7220376552,1,1000
c_7221066708,1,1000
c_7221523911,1,1000
c_7221524246,1,1000
c_7222064582,2,1000
c_7222511692,1,1000
c_7222648315,1,1000
c_7222794458,1,1000
c_7223193470,1,1000
c_7223622922,1,1000
c_7223999143,1,1000
c_7224104412,1,1000
c_7224586972,1,1000
c_7175719282,1,1005
c_7218130819,1,1005
c_7222510314,1,1008
c_7222516462,1,1009
c_7222184104,2,1013
c_7175702933,1,1019
c_7195816183,1,1022
c_7222509091,1,1022
c_7194101936,1,1050
c_7201195870,1,1050
c_7204256407,1,1050
c_7204257618,1,1050
c_7207182292,1,1050
c_7207991993,2,1050
c_7210584424,1,1050
c_7211236876,1,1050
c_7216331985,1,1050
c_7218354745,1,1050
c_7218694954,1,1050
c_7218701082,1,1050
c_7220646350,1,1050
c_7220833227,1,1050
c_7224515288,1,1050
c_7195681122,1,1060
c_7195815769,1,1066
c_7186710637,1,1070
c_7195817177,1,1070
c_7202190176,1,1080
c_7204259211,1,1085
k_1517883826,1,1087
c_7195677065,1,1088
c_7224429778,1,1090
c_7222837122,1,1099
c_7176076247,1,1100
c_7192373082,3,1100
c_7195236595,2,1100
c_7197196024,1,1100
c_7200733395,1,1100
c_7202593355,1,1100
c_7204228412,2,1100
c_7204372762,1,1100
c_7204496950,1,1100
c_7206552551,1,1100
c_7207291211,1,1100
c_7207373010,1,1100
c_7207912685,1,1100
c_7209356057,1,1100
c_7209453959,1,1100
c_7210093978,1,1100
c_7210146728,1,1100
c_7211600721,1,1100
c_7213122808,1,1100
c_7213842578,1,1100
c_7215509257,2,1100
c_7215515219,2,1100
c_7216211837,1,1100
c_7218853188,1,1100
c_7219376561,1,1100
c_7220828475,1,1100
c_7223918792,1,1100
c_7224406947,1,1100
c_7224514906,1,1100
c_7224515005,1,1100
c_7224602200,1,1100
