Column1.id,Column1.sqft,Column1.price
c_7184506180,637,1000
c_7195155467,980,1000
c_7197934211,1000,1000
c_7199094586,483,1000
c_7199104442,458,1000
c_7200699252,630,1000
c_7201196847,543,1000
c_7202605462,543,1000
c_7202722798,755,1000
c_7202852621,543,1000
c_7203042957,554,1000
c_7204225743,530,1000
c_7204331970,874,1000
c_7204771012,544,1000
c_7205622152,500,1000
c_7205712551,700,1000
c_7205721890,700,1000
c_7205721956,700,1000
c_7205960528,553,1000
c_7205968113,574,1000
c_7206142178,834,1000
c_7206590132,650,1000
c_7207972519,1300,1000
c_7208166411,500,1000
c_7209611625,734,1000
c_7209852373,463,1000
c_7210668103,872,1000
c_7211174258,700,1000
c_7211174860,700,1000
c_7211174999,700,1000
c_7211262248,584,1000
c_7215310381,837,1000
c_7215312407,738,1000
c_7215316767,574,1000
c_7216064536,583,1000
c_7216065738,984,1000
c_7216066923,583,1000
c_7216424367,300,1000
c_7216793767,980,1000
c_7216961874,843,1000
c_7217116923,843,1000
c_7217124616,445,1000
c_7217581830,435,1000
c_7217583244,949,1000
c_7217699569,578,1000
c_7218277920,574,1000
c_7218740395,947,1000
c_7218742116,843,1000
c_7218742980,842,1000
c_7220376552,500,1000
c_7221066708,773,1000
c_7221523911,832,1000
c_7221524246,758,1000
c_7222648315,1100,1000
c_7223193470,848,1000
c_7224104412,509,1000
c_7216100272,600,1025
c_7194101936,600,1050
c_7198684452,750,1050
c_7201195870,490,1050
c_7207182292,500,1050
c_7210584424,250,1050
c_7211236876,550,1050
c_7213971479,650,1050
c_7218354745,500,1050
c_7218694954,550,1050
c_7218701082,575,1050
c_7220646350,500,1050
c_7220833227,550,1050
c_7186710637,550,1070
c_7213811999,400,1075
c_7202190176,980,1080
k_1517883826,500,1087
c_7176076247,699,1100
c_7197196024,500,1100
c_7202108342,300,1100
c_7204496950,400,1100
c_7207291211,325,1100
c_7207373010,350,1100
c_7207912685,450,1100
c_7209981056,500,1100
c_7210093978,500,1100
c_7210146728,500,1100
c_7211600721,400,1100
c_7212513738,500,1100
c_7213842578,550,1100
c_7215888619,500,1100
c_7216211837,900,1100
c_7217359219,300,1100
c_7219376561,500,1100
c_7223918792,350,1100
c_7224602200,1200,1100
k_1517888385,750,1100
c_7217042205,295,1120
c_7196344632,550,1125
c_7199649688,500,1125
c_7216754644,220,1125
c_7222927525,300,1125
c_7223168752,550,1140
c_7204414613,650,1145
c_7209746041,1,1145
c_7215099724,1,1145
c_7190191840,350,1150
c_7209500428,500,1150
c_7212883890,400,1150
c_7221154344,400,1150
c_7223988770,700,1150
c_7197492557,400,1175
c_7206048528,325,1175
c_7213474108,325,1175
c_7214647097,325,1175
c_7209142650,400,1180
c_7209234742,525,1195
c_7213138595,1000,1195
c_7215377886,700,1195
c_7216200806,350,1195
c_7223304166,1200,1198
c_7182776616,670,1200
c_7189244309,500,1200
c_7192961617,750,1200
c_7199525491,600,1200
c_7200004091,750,1200
c_7200684537,483,1200
c_7203806658,600,1200
c_7206575104,1000,1200
c_7206884882,600,1200
c_7207512755,350,1200
c_7207762305,530,1200
c_7207801256,300,1200
c_7210635300,600,1200
c_7210709084,750,1200
c_7213736657,700,1200
c_7214729898,700,1200
c_7214940813,400,1200
c_7215396689,600,1200
c_7215553452,600,1200
c_7215780353,275,1200
c_7216974718,500,1200
c_7217244092,300,1200
c_7218598303,500,1200
c_7218751536,300,1200
c_7219923492,800,1200
c_7220456628,500,1200
c_7220567851,800,1200
c_7221195754,550,1200
c_7221994785,200,1200
c_7222956545,800,1200
c_7223717126,400,1200
c_7223761758,1200,1200
c_7223869640,600,1200
c_7224368410,1200,1200
c_7224651512,500,1200
c_7224659353,500,1200
c_7197356093,400,1230
c_7197267767,385,1245
k_1517825175,299,1249
c_7175394639,700,1250
c_7176990266,300,1250
c_7180690353,450,1250
c_7187002752,570,1250
c_7191757911,300,1250
c_7192810317,700,1250
c_7193072979,500,1250
c_7193228740,500,1250
c_7193247493,240,1250
c_7194894682,500,1250
c_7196677808,500,1250
c_7196864352,500,1250
c_7197274558,500,1250
c_7197495729,500,1250
c_7197498887,580,1250
c_7198367351,1003,1250
c_7198440414,600,1250
c_7201690488,300,1250
c_7202895408,400,1250
c_7203702633,425,1250
c_7206044612,700,1250
c_7206802990,950,1250
c_7206804203,350,1250
c_7207463129,650,1250
c_7208866928,570,1250
c_7209902311,750,1250
c_7209958192,600,1250
c_7211040916,610,1250
c_7212934634,700,1250
c_7216692924,570,1250
c_7220456998,500,1250
c_7220791689,580,1250
c_7222328027,280,1250
c_7222549105,300,1250
c_7223969130,600,1250
c_7224068643,400,1250
c_7224603309,300,1250
c_7224640810,600,1250
c_7225045105,650,1250
k_1513847752,600,1250
c_7203160106,600,1255
c_7191633169,750,1260
c_7196124885,750,1260
c_7206060280,340,1260
c_7195284800,350,1275
c_7201227475,600,1275
c_7203877407,700,1275
c_7207984928,700,1275
c_7218887698,200,1275
c_7206086314,580,1280
c_7219502194,600,1280
c_7193402975,650,1285
c_7194907374,340,1285
c_7208930863,700,1285
c_7225041360,600,1285
c_7200023607,400,1290
c_7189028248,400,1295
c_7198856295,500,1295
c_7200256714,400,1295
c_7203969215,400,1295
c_7204393211,550,1295
c_7204546291,400,1295
c_7204889862,600,1295
c_7205715156,400,1295
c_7205866552,400,1295
c_7206297374,400,1295
c_7206863697,400,1295
c_7207650925,400,1295
c_7208045311,400,1295
c_7208626130,450,1295
c_7212090006,400,1295
c_7213512597,400,1295
c_7213983999,600,1295
c_7215667688,400,1295
c_7220807627,400,1295
c_7222481859,200,1295
c_7222879893,550,1295
c_7223413801,400,1295
c_7223774018,400,1295
c_7211595292,1100,1298
c_7191745018,280,1300
c_7196786982,1800,1300
c_7197060189,450,1300
c_7198206807,600,1300
c_7198663795,765,1300
c_7201961401,650,1300
c_7205550773,400,1300
c_7205847735,400,1300
c_7206795956,400,1300
c_7206936301,400,1300
c_7207005556,400,1300
c_7207805326,300,1300
c_7208017203,400,1300
c_7208883000,850,1300
c_7211160447,1100,1300
c_7213782122,563,1300
c_7213833674,600,1300
c_7214174836,1200,1300
c_7214677854,400,1300
c_7215970639,450,1300
c_7216977347,650,1300
c_7218186121,600,1300
c_7218595383,800,1300
c_7219997189,400,1300
c_7220306821,300,1300
c_7221627688,500,1300
