,cluster,measure_value,price,Measure
9,overall,townhouse,2876.559829059829,rental_type
10,0.0,apartment,1852.13390010627,rental_type
11,0.0,condo,2117.6236351958896,rental_type
12,0.0,cottage,2250.0,rental_type
13,0.0,duplex,2677.909090909091,rental_type
14,0.0,flat,2136.114285714286,rental_type
15,0.0,house,2254.878099173554,rental_type
16,0.0,loft,2253.6725663716816,rental_type
17,0.0,suite,1907.2844827586207,rental_type
18,0.0,townhouse,2990.759493670886,rental_type
19,1.0,condo,2265.42662219527,rental_type
20,1.0,duplex,2725.0,rental_type
21,1.0,flat,2170.0,rental_type
22,1.0,house,3231.0,rental_type
23,1.0,loft,2640.3684210526317,rental_type
24,1.0,suite,2050.3636363636365,rental_type
25,1.0,townhouse,4539.08,rental_type
26,2.0,apartment,1824.9497510185604,rental_type
27,2.0,cottage,1749.0,rental_type
28,2.0,duplex,2514.6111111111113,rental_type
29,2.0,flat,2055.55,rental_type
30,2.0,house,2375.716059602649,rental_type
31,2.0,land,2460.0,rental_type
32,2.0,loft,2979.696,rental_type
33,2.0,suite,2161.131805157593,rental_type
34,2.0,townhouse,2478.4341085271317,rental_type
35,Not Feasible to predict,apartment,663.3125,rental_type
36,Not Feasible to predict,condo,58278.71428571428,rental_type
37,Not Feasible to predict,duplex,2500.0,rental_type
38,Not Feasible to predict,flat,1.0,rental_type
39,Not Feasible to predict,house,65064.0,rental_type
40,Not Feasible to predict,suite,1406.0,rental_type
41,Not Feasible to predict,townhouse,3650.0,rental_type
0,overall,NO,2188.6110599078343,furnished
1,overall,NOT_MENTIONED,2458.7041714504403,furnished
2,overall,YES,2252.2100043122036,furnished
3,0.0,NO,2065.718309859155,furnished
4,0.0,NOT_MENTIONED,2112.5838247683237,furnished
5,0.0,YES,2006.7821011673152,furnished
6,1.0,NO,2337.0551558752995,furnished
7,1.0,NOT_MENTIONED,2205.228078358209,furnished
8,1.0,YES,2481.222222222222,furnished
9,2.0,NO,2133.4253246753246,furnished
10,2.0,NOT_MENTIONED,2109.518654434251,furnished
11,2.0,YES,1978.4243827160494,furnished
12,Not Feasible to predict,NO,1933.2,furnished
13,Not Feasible to predict,NOT_MENTIONED,51615.1568627451,furnished
14,Not Feasible to predict,YES,6940.305555555556,furnished
0,overall,False,2522.8948458948457,pets
1,overall,True,2098.695257029253,pets
2,0.0,True,2084.5237142857145,pets
3,1.0,False,2290.901313868613,pets
4,2.0,False,2091.159488878372,pets
5,Not Feasible to predict,False,39411.50704225352,pets
6,Not Feasible to predict,True,4460.619047619048,pets
