reportedyear,FSA,reportedmonth,MCI,Count of MCI
2017,M1B,April,Assault,28
2017,M1B,August,Assault,44
2017,M1B,December,Assault,32
2017,M1B,February,Assault,35
2017,M1B,January,Assault,29
2017,M1B,July,Assault,34
2017,M1B,June,Assault,29
2017,M1B,March,Assault,20
2017,M1B,May,Assault,37
2017,M1B,November,Assault,41
2017,M1B,October,Assault,32
2017,M1B,September,Assault,32
2017,M1B,April,Auto Theft,5
2017,M1B,August,Auto Theft,10
2017,M1B,December,Auto Theft,7
2017,M1B,February,Auto Theft,4
2017,M1B,January,Auto Theft,6
2017,M1B,July,Auto Theft,7
2017,M1B,June,Auto Theft,4
2017,M1B,March,Auto Theft,5
2017,M1B,May,Auto Theft,3
2017,M1B,November,Auto Theft,6
2017,M1B,October,Auto Theft,1
2017,M1B,September,Auto Theft,10
2017,M1B,April,Break and Enter,6
2017,M1B,August,Break and Enter,7
2017,M1B,December,Break and Enter,5
2017,M1B,February,Break and Enter,8
2017,M1B,January,Break and Enter,12
2017,M1B,July,Break and Enter,5
2017,M1B,June,Break and Enter,5
2017,M1B,March,Break and Enter,5
2017,M1B,May,Break and Enter,1
2017,M1B,November,Break and Enter,12
2017,M1B,October,Break and Enter,6
2017,M1B,September,Break and Enter,5
2017,M1B,April,Robbery,8
2017,M1B,August,Robbery,6
2017,M1B,December,Robbery,12
2017,M1B,February,Robbery,1
2017,M1B,January,Robbery,2
2017,M1B,July,Robbery,8
2017,M1B,June,Robbery,10
2017,M1B,March,Robbery,4
2017,M1B,May,Robbery,8
2017,M1B,November,Robbery,5
2017,M1B,October,Robbery,11
2017,M1B,September,Robbery,3
2017,M1B,August,Theft Over,1
2017,M1B,February,Theft Over,1
2017,M1B,January,Theft Over,1
2017,M1B,July,Theft Over,2
2017,M1B,June,Theft Over,2
2017,M1B,March,Theft Over,2
2017,M1B,May,Theft Over,1
2017,M1B,November,Theft Over,1
2017,M1B,October,Theft Over,3
2017,M1B,September,Theft Over,1
2018,M1B,April,Assault,40
2018,M1B,August,Assault,26
2018,M1B,December,Assault,31
2018,M1B,February,Assault,30
2018,M1B,January,Assault,18
2018,M1B,July,Assault,24
2018,M1B,June,Assault,39
2018,M1B,March,Assault,17
2018,M1B,May,Assault,41
2018,M1B,November,Assault,30
2018,M1B,October,Assault,35
2018,M1B,September,Assault,25
2018,M1B,April,Auto Theft,11
2018,M1B,August,Auto Theft,9
2018,M1B,December,Auto Theft,6
2018,M1B,February,Auto Theft,3
2018,M1B,January,Auto Theft,5
2018,M1B,July,Auto Theft,2
2018,M1B,June,Auto Theft,3
2018,M1B,March,Auto Theft,7
2018,M1B,May,Auto Theft,10
2018,M1B,November,Auto Theft,12
2018,M1B,October,Auto Theft,4
2018,M1B,September,Auto Theft,5
2018,M1B,April,Break and Enter,6
2018,M1B,August,Break and Enter,14
2018,M1B,December,Break and Enter,15
2018,M1B,February,Break and Enter,11
2018,M1B,January,Break and Enter,7
2018,M1B,July,Break and Enter,2
2018,M1B,June,Break and Enter,7
2018,M1B,March,Break and Enter,5
2018,M1B,May,Break and Enter,9
2018,M1B,November,Break and Enter,10
2018,M1B,October,Break and Enter,2
2018,M1B,September,Break and Enter,8
2018,M1B,April,Robbery,4
2018,M1B,August,Robbery,1
2018,M1B,December,Robbery,10
2018,M1B,February,Robbery,1
2018,M1B,January,Robbery,5
2018,M1B,July,Robbery,2
2018,M1B,June,Robbery,3
2018,M1B,March,Robbery,4
2018,M1B,May,Robbery,7
2018,M1B,November,Robbery,10
2018,M1B,October,Robbery,6
2018,M1B,September,Robbery,2
2018,M1B,April,Theft Over,2
2018,M1B,August,Theft Over,1
2018,M1B,December,Theft Over,4
2018,M1B,February,Theft Over,1
2018,M1B,January,Theft Over,1
2018,M1B,July,Theft Over,2
2018,M1B,June,Theft Over,2
2018,M1B,November,Theft Over,4
2018,M1B,October,Theft Over,1
2019,M1B,April,Assault,28
2019,M1B,August,Assault,25
2019,M1B,December,Assault,20
2019,M1B,February,Assault,22
2019,M1B,January,Assault,18
2019,M1B,July,Assault,28
2019,M1B,June,Assault,26
2019,M1B,March,Assault,32
2019,M1B,May,Assault,25
2019,M1B,November,Assault,31
2019,M1B,October,Assault,22
2019,M1B,September,Assault,30
2019,M1B,August,Auto Theft,7
2019,M1B,December,Auto Theft,8
2019,M1B,February,Auto Theft,3
2019,M1B,January,Auto Theft,9
2019,M1B,July,Auto Theft,5
2019,M1B,June,Auto Theft,9
2019,M1B,March,Auto Theft,6
2019,M1B,May,Auto Theft,4
2019,M1B,November,Auto Theft,15
2019,M1B,October,Auto Theft,16
2019,M1B,September,Auto Theft,7
2019,M1B,April,Break and Enter,2
2019,M1B,August,Break and Enter,2
2019,M1B,December,Break and Enter,3
2019,M1B,February,Break and Enter,1
2019,M1B,January,Break and Enter,4
2019,M1B,July,Break and Enter,3
2019,M1B,June,Break and Enter,7
2019,M1B,March,Break and Enter,4
2019,M1B,May,Break and Enter,3
2019,M1B,November,Break and Enter,2
2019,M1B,October,Break and Enter,3
2019,M1B,September,Break and Enter,4
2019,M1B,April,Robbery,5
2019,M1B,August,Robbery,1
2019,M1B,December,Robbery,1
2019,M1B,February,Robbery,5
2019,M1B,January,Robbery,4
2019,M1B,July,Robbery,5
2019,M1B,June,Robbery,2
2019,M1B,March,Robbery,9
2019,M1B,May,Robbery,1
2019,M1B,November,Robbery,4
2019,M1B,October,Robbery,8
2019,M1B,September,Robbery,4
2019,M1B,August,Theft Over,1
2019,M1B,February,Theft Over,2
2019,M1B,July,Theft Over,2
2019,M1B,June,Theft Over,2
2019,M1B,May,Theft Over,1
2019,M1B,October,Theft Over,2
2017,M1C,April,Assault,17
2017,M1C,August,Assault,8
2017,M1C,December,Assault,13
2017,M1C,February,Assault,14
2017,M1C,January,Assault,2
2017,M1C,July,Assault,10
2017,M1C,June,Assault,14
2017,M1C,March,Assault,11
2017,M1C,May,Assault,6
2017,M1C,November,Assault,9
2017,M1C,October,Assault,10
2017,M1C,September,Assault,9
2017,M1C,April,Auto Theft,2
2017,M1C,December,Auto Theft,4
2017,M1C,February,Auto Theft,2
2017,M1C,July,Auto Theft,2
2017,M1C,June,Auto Theft,2
2017,M1C,March,Auto Theft,1
2017,M1C,May,Auto Theft,2
2017,M1C,November,Auto Theft,2
2017,M1C,September,Auto Theft,6
2017,M1C,April,Break and Enter,4
2017,M1C,August,Break and Enter,4
2017,M1C,December,Break and Enter,6
2017,M1C,February,Break and Enter,9
2017,M1C,January,Break and Enter,3
2017,M1C,July,Break and Enter,5
2017,M1C,June,Break and Enter,7
2017,M1C,March,Break and Enter,8
2017,M1C,May,Break and Enter,2
2017,M1C,November,Break and Enter,6
2017,M1C,September,Break and Enter,8
2017,M1C,April,Robbery,6
2017,M1C,August,Robbery,2
2017,M1C,December,Robbery,1
2017,M1C,January,Robbery,4
2017,M1C,July,Robbery,4
2017,M1C,June,Robbery,2
2017,M1C,March,Robbery,2
2017,M1C,May,Robbery,1
2017,M1C,November,Robbery,6
2017,M1C,October,Robbery,1
2017,M1C,September,Robbery,3
2017,M1C,August,Theft Over,1
2017,M1C,February,Theft Over,1
2017,M1C,June,Theft Over,1
2017,M1C,November,Theft Over,1
2017,M1C,October,Theft Over,1
2018,M1C,April,Assault,7
2018,M1C,August,Assault,8
2018,M1C,December,Assault,5
2018,M1C,February,Assault,11
2018,M1C,January,Assault,13
2018,M1C,July,Assault,7
2018,M1C,June,Assault,15
2018,M1C,March,Assault,14
2018,M1C,May,Assault,7
2018,M1C,November,Assault,8
2018,M1C,October,Assault,10
2018,M1C,September,Assault,9
2018,M1C,April,Auto Theft,2
2018,M1C,August,Auto Theft,4
2018,M1C,December,Auto Theft,1
2018,M1C,February,Auto Theft,2
2018,M1C,January,Auto Theft,3
2018,M1C,July,Auto Theft,4
2018,M1C,June,Auto Theft,5
2018,M1C,March,Auto Theft,3
2018,M1C,May,Auto Theft,2
2018,M1C,November,Auto Theft,2
2018,M1C,October,Auto Theft,1
2018,M1C,September,Auto Theft,5
2018,M1C,April,Break and Enter,3
2018,M1C,August,Break and Enter,8
2018,M1C,December,Break and Enter,5
2018,M1C,February,Break and Enter,10
2018,M1C,January,Break and Enter,11
2018,M1C,July,Break and Enter,4
2018,M1C,June,Break and Enter,4
2018,M1C,March,Break and Enter,6
2018,M1C,November,Break and Enter,1
2018,M1C,October,Break and Enter,8
2018,M1C,September,Break and Enter,5
2018,M1C,April,Robbery,2
2018,M1C,December,Robbery,1
2018,M1C,February,Robbery,1
2018,M1C,January,Robbery,2
2018,M1C,July,Robbery,3
2018,M1C,June,Robbery,2
2018,M1C,March,Robbery,2
2018,M1C,November,Robbery,2
2018,M1C,August,Theft Over,2
2018,M1C,December,Theft Over,1
2018,M1C,January,Theft Over,1
2018,M1C,May,Theft Over,1
2018,M1C,November,Theft Over,2
2018,M1C,September,Theft Over,1
2019,M1C,April,Assault,11
2019,M1C,August,Assault,13
2019,M1C,December,Assault,8
2019,M1C,February,Assault,6
2019,M1C,January,Assault,9
2019,M1C,July,Assault,16
2019,M1C,June,Assault,13
2019,M1C,March,Assault,5
2019,M1C,May,Assault,13
2019,M1C,November,Assault,12
2019,M1C,October,Assault,10
2019,M1C,September,Assault,10
2019,M1C,April,Auto Theft,1
2019,M1C,August,Auto Theft,6
2019,M1C,December,Auto Theft,7
2019,M1C,February,Auto Theft,5
2019,M1C,January,Auto Theft,6
2019,M1C,July,Auto Theft,3
2019,M1C,June,Auto Theft,3
2019,M1C,March,Auto Theft,5
2019,M1C,May,Auto Theft,4
2019,M1C,November,Auto Theft,7
2019,M1C,October,Auto Theft,3
2019,M1C,September,Auto Theft,3
2019,M1C,April,Break and Enter,10
2019,M1C,August,Break and Enter,7
2019,M1C,December,Break and Enter,4
2019,M1C,February,Break and Enter,1
2019,M1C,January,Break and Enter,2
2019,M1C,July,Break and Enter,9
2019,M1C,June,Break and Enter,4
2019,M1C,March,Break and Enter,7
2019,M1C,May,Break and Enter,10
2019,M1C,November,Break and Enter,9
2019,M1C,October,Break and Enter,9
2019,M1C,September,Break and Enter,4
2019,M1C,April,Robbery,1
2019,M1C,December,Robbery,1
2019,M1C,January,Robbery,2
2019,M1C,July,Robbery,1
2019,M1C,June,Robbery,2
2019,M1C,March,Robbery,3
2019,M1C,May,Robbery,1
2019,M1C,November,Robbery,1
2019,M1C,August,Theft Over,1
2019,M1C,December,Theft Over,1
2019,M1C,January,Theft Over,1
2019,M1C,October,Theft Over,2
2017,M1E,April,Assault,49
2017,M1E,August,Assault,38
2017,M1E,December,Assault,34
2017,M1E,February,Assault,51
2017,M1E,January,Assault,39
2017,M1E,July,Assault,61
2017,M1E,June,Assault,41
2017,M1E,March,Assault,47
2017,M1E,May,Assault,44
2017,M1E,November,Assault,48
2017,M1E,October,Assault,47
2017,M1E,September,Assault,41
2017,M1E,April,Auto Theft,2
2017,M1E,August,Auto Theft,8
2017,M1E,December,Auto Theft,3
2017,M1E,February,Auto Theft,3
2017,M1E,January,Auto Theft,2
2017,M1E,July,Auto Theft,1
2017,M1E,June,Auto Theft,3
2017,M1E,March,Auto Theft,4
2017,M1E,May,Auto Theft,3
2017,M1E,November,Auto Theft,3
2017,M1E,October,Auto Theft,7
2017,M1E,September,Auto Theft,3
2017,M1E,April,Break and Enter,10
2017,M1E,August,Break and Enter,11
2017,M1E,December,Break and Enter,13
2017,M1E,February,Break and Enter,2
2017,M1E,January,Break and Enter,9
2017,M1E,July,Break and Enter,7
2017,M1E,June,Break and Enter,10
2017,M1E,March,Break and Enter,12
2017,M1E,May,Break and Enter,9
2017,M1E,November,Break and Enter,6
2017,M1E,October,Break and Enter,12
2017,M1E,September,Break and Enter,6
2017,M1E,April,Robbery,7
2017,M1E,August,Robbery,9
2017,M1E,December,Robbery,6
2017,M1E,February,Robbery,2
2017,M1E,January,Robbery,14
2017,M1E,July,Robbery,10
2017,M1E,June,Robbery,6
2017,M1E,March,Robbery,10
2017,M1E,May,Robbery,10
2017,M1E,November,Robbery,5
2017,M1E,October,Robbery,3
2017,M1E,September,Robbery,4
2017,M1E,August,Theft Over,1
2017,M1E,February,Theft Over,4
2017,M1E,June,Theft Over,2
2017,M1E,May,Theft Over,2
2017,M1E,November,Theft Over,4
2017,M1E,September,Theft Over,1
2018,M1E,April,Assault,47
2018,M1E,August,Assault,37
2018,M1E,December,Assault,39
2018,M1E,February,Assault,33
2018,M1E,January,Assault,51
2018,M1E,July,Assault,43
2018,M1E,June,Assault,52
2018,M1E,March,Assault,40
2018,M1E,May,Assault,48
2018,M1E,November,Assault,60
2018,M1E,October,Assault,55
2018,M1E,September,Assault,50
2018,M1E,April,Auto Theft,3
2018,M1E,August,Auto Theft,4
2018,M1E,December,Auto Theft,8
2018,M1E,February,Auto Theft,5
2018,M1E,January,Auto Theft,2
2018,M1E,July,Auto Theft,4
2018,M1E,June,Auto Theft,3
2018,M1E,March,Auto Theft,3
2018,M1E,May,Auto Theft,1
2018,M1E,November,Auto Theft,2
2018,M1E,October,Auto Theft,3
2018,M1E,September,Auto Theft,3
2018,M1E,April,Break and Enter,4
2018,M1E,August,Break and Enter,10
2018,M1E,December,Break and Enter,6
2018,M1E,February,Break and Enter,7
2018,M1E,January,Break and Enter,17
2018,M1E,July,Break and Enter,23
2018,M1E,June,Break and Enter,16
2018,M1E,March,Break and Enter,7
2018,M1E,May,Break and Enter,6
2018,M1E,November,Break and Enter,16
2018,M1E,October,Break and Enter,7
2018,M1E,September,Break and Enter,10
2018,M1E,April,Robbery,5
2018,M1E,August,Robbery,4
2018,M1E,December,Robbery,8
2018,M1E,February,Robbery,3
2018,M1E,January,Robbery,8
2018,M1E,July,Robbery,5
2018,M1E,June,Robbery,2
2018,M1E,March,Robbery,9
2018,M1E,November,Robbery,7
2018,M1E,October,Robbery,5
2018,M1E,September,Robbery,3
2018,M1E,August,Theft Over,1
2018,M1E,January,Theft Over,1
2018,M1E,July,Theft Over,1
2018,M1E,June,Theft Over,3
2019,M1E,April,Assault,61
2019,M1E,August,Assault,46
2019,M1E,December,Assault,41
2019,M1E,February,Assault,43
2019,M1E,January,Assault,38
2019,M1E,July,Assault,56
2019,M1E,June,Assault,67
2019,M1E,March,Assault,41
2019,M1E,May,Assault,53
2019,M1E,November,Assault,43
2019,M1E,October,Assault,53
2019,M1E,September,Assault,46
2019,M1E,April,Auto Theft,7
2019,M1E,August,Auto Theft,6
2019,M1E,December,Auto Theft,3
2019,M1E,February,Auto Theft,4
2019,M1E,January,Auto Theft,2
2019,M1E,July,Auto Theft,4
2019,M1E,June,Auto Theft,3
2019,M1E,March,Auto Theft,4
2019,M1E,May,Auto Theft,5
2019,M1E,November,Auto Theft,7
2019,M1E,October,Auto Theft,4
2019,M1E,September,Auto Theft,7
2019,M1E,April,Break and Enter,7
2019,M1E,August,Break and Enter,8
2019,M1E,December,Break and Enter,6
2019,M1E,February,Break and Enter,8
2019,M1E,January,Break and Enter,9
2019,M1E,July,Break and Enter,11
2019,M1E,June,Break and Enter,7
2019,M1E,March,Break and Enter,8
2019,M1E,May,Break and Enter,13
2019,M1E,November,Break and Enter,4
2019,M1E,October,Break and Enter,8
2019,M1E,September,Break and Enter,11
2019,M1E,April,Robbery,8
2019,M1E,August,Robbery,2
2019,M1E,December,Robbery,14
2019,M1E,February,Robbery,7
2019,M1E,January,Robbery,2
2019,M1E,July,Robbery,11
2019,M1E,June,Robbery,11
2019,M1E,March,Robbery,6
2019,M1E,May,Robbery,11
2019,M1E,November,Robbery,6
2019,M1E,October,Robbery,6
2019,M1E,September,Robbery,10
2019,M1E,July,Theft Over,1
2019,M1E,June,Theft Over,2
2019,M1E,March,Theft Over,1
2019,M1E,May,Theft Over,1
2019,M1E,October,Theft Over,1
2017,M1G,April,Assault,14
2017,M1G,August,Assault,23
2017,M1G,December,Assault,24
2017,M1G,February,Assault,19
2017,M1G,January,Assault,20
2017,M1G,July,Assault,21
2017,M1G,June,Assault,15
2017,M1G,March,Assault,14
2017,M1G,May,Assault,18
2017,M1G,November,Assault,16
2017,M1G,October,Assault,17
2017,M1G,September,Assault,24
2017,M1G,April,Auto Theft,2
2017,M1G,December,Auto Theft,4
2017,M1G,February,Auto Theft,1
2017,M1G,January,Auto Theft,1
2017,M1G,July,Auto Theft,2
2017,M1G,June,Auto Theft,1
2017,M1G,March,Auto Theft,5
2017,M1G,November,Auto Theft,1
2017,M1G,September,Auto Theft,1
2017,M1G,April,Break and Enter,3
2017,M1G,August,Break and Enter,2
2017,M1G,December,Break and Enter,4
2017,M1G,February,Break and Enter,2
2017,M1G,January,Break and Enter,2
2017,M1G,July,Break and Enter,2
2017,M1G,June,Break and Enter,3
2017,M1G,May,Break and Enter,2
2017,M1G,November,Break and Enter,6
2017,M1G,October,Break and Enter,5
2017,M1G,September,Break and Enter,2
2017,M1G,April,Robbery,1
2017,M1G,August,Robbery,5
2017,M1G,December,Robbery,1
2017,M1G,February,Robbery,2
2017,M1G,January,Robbery,3
2017,M1G,July,Robbery,11
2017,M1G,June,Robbery,6
2017,M1G,March,Robbery,4
2017,M1G,May,Robbery,3
2017,M1G,November,Robbery,3
2017,M1G,October,Robbery,4
2017,M1G,September,Robbery,6
2017,M1G,February,Theft Over,1
2017,M1G,January,Theft Over,1
2017,M1G,July,Theft Over,1
2017,M1G,June,Theft Over,1
2017,M1G,November,Theft Over,1
2017,M1G,October,Theft Over,1
2018,M1G,April,Assault,13
2018,M1G,August,Assault,25
2018,M1G,December,Assault,13
2018,M1G,February,Assault,19
2018,M1G,January,Assault,16
2018,M1G,July,Assault,15
2018,M1G,June,Assault,8
2018,M1G,March,Assault,16
2018,M1G,May,Assault,23
2018,M1G,November,Assault,14
2018,M1G,October,Assault,18
2018,M1G,September,Assault,13
2018,M1G,August,Auto Theft,3
2018,M1G,December,Auto Theft,1
2018,M1G,February,Auto Theft,1
2018,M1G,January,Auto Theft,8
2018,M1G,July,Auto Theft,2
2018,M1G,June,Auto Theft,1
2018,M1G,March,Auto Theft,6
2018,M1G,May,Auto Theft,1
2018,M1G,November,Auto Theft,1
2018,M1G,October,Auto Theft,3
2018,M1G,September,Auto Theft,1
2018,M1G,April,Break and Enter,2
2018,M1G,August,Break and Enter,3
2018,M1G,December,Break and Enter,2
2018,M1G,February,Break and Enter,5
2018,M1G,January,Break and Enter,7
2018,M1G,July,Break and Enter,4
2018,M1G,June,Break and Enter,2
2018,M1G,March,Break and Enter,1
2018,M1G,May,Break and Enter,1
2018,M1G,November,Break and Enter,4
2018,M1G,October,Break and Enter,6
2018,M1G,August,Robbery,1
2018,M1G,December,Robbery,1
2018,M1G,February,Robbery,4
2018,M1G,January,Robbery,3
2018,M1G,July,Robbery,3
2018,M1G,June,Robbery,2
2018,M1G,March,Robbery,1
2018,M1G,May,Robbery,3
2018,M1G,October,Robbery,4
2018,M1G,September,Robbery,3
2018,M1G,August,Theft Over,2
2019,M1G,April,Assault,16
2019,M1G,August,Assault,24
2019,M1G,December,Assault,20
2019,M1G,February,Assault,17
2019,M1G,January,Assault,16
2019,M1G,July,Assault,16
2019,M1G,June,Assault,23
2019,M1G,March,Assault,21
2019,M1G,May,Assault,25
2019,M1G,November,Assault,23
2019,M1G,October,Assault,22
2019,M1G,September,Assault,18
2019,M1G,February,Auto Theft,4
2019,M1G,January,Auto Theft,2
2019,M1G,June,Auto Theft,1
2019,M1G,March,Auto Theft,6
2019,M1G,May,Auto Theft,1
2019,M1G,November,Auto Theft,1
2019,M1G,October,Auto Theft,2
2019,M1G,April,Break and Enter,3
2019,M1G,August,Break and Enter,2
2019,M1G,December,Break and Enter,1
2019,M1G,February,Break and Enter,6
2019,M1G,January,Break and Enter,1
2019,M1G,July,Break and Enter,4
2019,M1G,June,Break and Enter,5
2019,M1G,March,Break and Enter,3
2019,M1G,May,Break and Enter,5
2019,M1G,November,Break and Enter,4
2019,M1G,October,Break and Enter,3
2019,M1G,September,Break and Enter,5
2019,M1G,April,Robbery,1
2019,M1G,August,Robbery,5
2019,M1G,February,Robbery,1
2019,M1G,January,Robbery,3
2019,M1G,July,Robbery,3
2019,M1G,June,Robbery,4
2019,M1G,March,Robbery,1
2019,M1G,May,Robbery,4
2019,M1G,November,Robbery,2
2019,M1G,October,Robbery,8
2019,M1G,September,Robbery,5
2019,M1G,February,Theft Over,1
2019,M1G,July,Theft Over,1
2019,M1G,June,Theft Over,2
2019,M1G,March,Theft Over,1
2019,M1G,May,Theft Over,1
2017,M1H,April,Assault,13
2017,M1H,August,Assault,31
2017,M1H,December,Assault,15
2017,M1H,February,Assault,21
2017,M1H,January,Assault,15
2017,M1H,July,Assault,24
2017,M1H,June,Assault,21
2017,M1H,March,Assault,23
2017,M1H,May,Assault,18
2017,M1H,November,Assault,19
2017,M1H,October,Assault,16
2017,M1H,September,Assault,15
2017,M1H,April,Auto Theft,3
2017,M1H,December,Auto Theft,3
2017,M1H,February,Auto Theft,2
2017,M1H,July,Auto Theft,3
2017,M1H,June,Auto Theft,1
2017,M1H,March,Auto Theft,6
2017,M1H,May,Auto Theft,4
2017,M1H,November,Auto Theft,2
2017,M1H,October,Auto Theft,2
2017,M1H,September,Auto Theft,3
2017,M1H,April,Break and Enter,4
2017,M1H,August,Break and Enter,9
2017,M1H,December,Break and Enter,4
2017,M1H,February,Break and Enter,1
2017,M1H,January,Break and Enter,4
2017,M1H,July,Break and Enter,7
2017,M1H,June,Break and Enter,5
2017,M1H,March,Break and Enter,1
2017,M1H,May,Break and Enter,6
2017,M1H,November,Break and Enter,6
2017,M1H,October,Break and Enter,4
2017,M1H,September,Break and Enter,2
2017,M1H,April,Robbery,6
2017,M1H,August,Robbery,5
2017,M1H,December,Robbery,8
2017,M1H,February,Robbery,5
2017,M1H,January,Robbery,4
2017,M1H,July,Robbery,10
2017,M1H,June,Robbery,14
2017,M1H,March,Robbery,2
2017,M1H,May,Robbery,1
2017,M1H,November,Robbery,4
2017,M1H,October,Robbery,6
2017,M1H,September,Robbery,8
2017,M1H,April,Theft Over,1
2017,M1H,August,Theft Over,1
2017,M1H,December,Theft Over,1
2017,M1H,February,Theft Over,1
2017,M1H,January,Theft Over,4
2017,M1H,July,Theft Over,3
2017,M1H,March,Theft Over,2
2017,M1H,May,Theft Over,2
2017,M1H,September,Theft Over,2
2018,M1H,April,Assault,18
2018,M1H,August,Assault,17
2018,M1H,December,Assault,18
2018,M1H,February,Assault,10
2018,M1H,January,Assault,23
2018,M1H,July,Assault,8
2018,M1H,June,Assault,27
2018,M1H,March,Assault,13
2018,M1H,May,Assault,23
2018,M1H,November,Assault,18
2018,M1H,October,Assault,16
2018,M1H,September,Assault,20
2018,M1H,August,Auto Theft,6
2018,M1H,December,Auto Theft,4
2018,M1H,February,Auto Theft,3
2018,M1H,July,Auto Theft,6
2018,M1H,June,Auto Theft,2
2018,M1H,March,Auto Theft,5
2018,M1H,May,Auto Theft,1
2018,M1H,November,Auto Theft,1
2018,M1H,October,Auto Theft,3
2018,M1H,September,Auto Theft,2
2018,M1H,April,Break and Enter,6
2018,M1H,August,Break and Enter,7
2018,M1H,December,Break and Enter,4
2018,M1H,February,Break and Enter,5
2018,M1H,January,Break and Enter,6
2018,M1H,July,Break and Enter,6
2018,M1H,June,Break and Enter,8
2018,M1H,March,Break and Enter,2
2018,M1H,May,Break and Enter,5
2018,M1H,November,Break and Enter,5
2018,M1H,October,Break and Enter,9
2018,M1H,September,Break and Enter,5
2018,M1H,April,Robbery,5
2018,M1H,August,Robbery,4
2018,M1H,December,Robbery,5
2018,M1H,February,Robbery,2
2018,M1H,January,Robbery,3
2018,M1H,July,Robbery,11
2018,M1H,June,Robbery,3
2018,M1H,March,Robbery,6
2018,M1H,May,Robbery,2
2018,M1H,November,Robbery,4
2018,M1H,October,Robbery,7
2018,M1H,September,Robbery,3
2018,M1H,August,Theft Over,3
2018,M1H,January,Theft Over,1
2018,M1H,July,Theft Over,1
2018,M1H,March,Theft Over,2
2018,M1H,May,Theft Over,2
2018,M1H,November,Theft Over,1
2018,M1H,October,Theft Over,1
2018,M1H,September,Theft Over,1
2019,M1H,April,Assault,27
2019,M1H,August,Assault,18
2019,M1H,December,Assault,15
2019,M1H,February,Assault,16
2019,M1H,January,Assault,19
2019,M1H,July,Assault,22
2019,M1H,June,Assault,11
2019,M1H,March,Assault,28
2019,M1H,May,Assault,14
2019,M1H,November,Assault,15
2019,M1H,October,Assault,20
2019,M1H,September,Assault,17
2019,M1H,April,Auto Theft,1
2019,M1H,August,Auto Theft,4
2019,M1H,December,Auto Theft,3
2019,M1H,February,Auto Theft,2
2019,M1H,January,Auto Theft,6
2019,M1H,July,Auto Theft,9
2019,M1H,June,Auto Theft,2
2019,M1H,March,Auto Theft,2
2019,M1H,May,Auto Theft,4
2019,M1H,October,Auto Theft,4
2019,M1H,September,Auto Theft,7
2019,M1H,April,Break and Enter,6
2019,M1H,August,Break and Enter,7
2019,M1H,February,Break and Enter,6
2019,M1H,January,Break and Enter,8
2019,M1H,July,Break and Enter,6
2019,M1H,June,Break and Enter,5
2019,M1H,March,Break and Enter,2
2019,M1H,May,Break and Enter,6
2019,M1H,November,Break and Enter,4
2019,M1H,October,Break and Enter,6
2019,M1H,September,Break and Enter,5
2019,M1H,April,Robbery,1
2019,M1H,August,Robbery,7
2019,M1H,December,Robbery,3
2019,M1H,February,Robbery,7
2019,M1H,January,Robbery,1
2019,M1H,June,Robbery,1
2019,M1H,March,Robbery,4
2019,M1H,May,Robbery,4
2019,M1H,November,Robbery,3
2019,M1H,September,Robbery,2
2019,M1H,February,Theft Over,1
2019,M1H,January,Theft Over,1
2019,M1H,October,Theft Over,1
2019,M1H,September,Theft Over,1
2017,M1J,April,Assault,14
2017,M1J,August,Assault,22
2017,M1J,December,Assault,22
2017,M1J,February,Assault,27
2017,M1J,January,Assault,16
2017,M1J,July,Assault,29
2017,M1J,June,Assault,21
2017,M1J,March,Assault,18
2017,M1J,May,Assault,24
2017,M1J,November,Assault,14
2017,M1J,October,Assault,23
2017,M1J,September,Assault,28
2017,M1J,April,Auto Theft,7
2017,M1J,August,Auto Theft,3
2017,M1J,December,Auto Theft,3
2017,M1J,February,Auto Theft,3
2017,M1J,July,Auto Theft,3
2017,M1J,June,Auto Theft,7
2017,M1J,March,Auto Theft,3
2017,M1J,May,Auto Theft,1
2017,M1J,November,Auto Theft,2
2017,M1J,October,Auto Theft,7
2017,M1J,September,Auto Theft,4
2017,M1J,April,Break and Enter,6
2017,M1J,August,Break and Enter,5
2017,M1J,December,Break and Enter,4
2017,M1J,February,Break and Enter,5
2017,M1J,January,Break and Enter,6
2017,M1J,July,Break and Enter,6
2017,M1J,June,Break and Enter,6
2017,M1J,March,Break and Enter,5
2017,M1J,May,Break and Enter,8
2017,M1J,November,Break and Enter,6
2017,M1J,October,Break and Enter,11
2017,M1J,September,Break and Enter,4
2017,M1J,April,Robbery,1
2017,M1J,August,Robbery,2
2017,M1J,February,Robbery,6
2017,M1J,January,Robbery,3
2017,M1J,July,Robbery,3
2017,M1J,March,Robbery,3
2017,M1J,May,Robbery,8
2017,M1J,November,Robbery,1
2017,M1J,October,Robbery,9
2017,M1J,September,Robbery,9
2017,M1J,December,Theft Over,1
2017,M1J,January,Theft Over,2
2017,M1J,July,Theft Over,1
2017,M1J,March,Theft Over,2
2018,M1J,April,Assault,18
2018,M1J,August,Assault,23
2018,M1J,December,Assault,17
2018,M1J,February,Assault,24
2018,M1J,January,Assault,20
2018,M1J,July,Assault,21
2018,M1J,June,Assault,30
2018,M1J,March,Assault,14
2018,M1J,May,Assault,29
2018,M1J,November,Assault,23
2018,M1J,October,Assault,16
2018,M1J,September,Assault,27
2018,M1J,April,Auto Theft,1
2018,M1J,August,Auto Theft,2
2018,M1J,February,Auto Theft,1
